Product Id,Competitive Product,Date of Info,By,Sold By,Fulfilled By,ASIN,Price,Count of Items,Prime? (Y/N),Free Shipping? (Y/N),# of Reviews,Rating,Types of Snacks,Bullet 1,Bullet 2,Bullet 3,Bullet 4,Bullet 5,Enhanced Brand Content? (Y/N),Subscribe and Save? (Y/N),Amazon Brand Store? (Y/N),Link to Amazon Brand Store,Shipping Weight,Amazon Best Sellers Rank: (X in Category),# ,General Category ,Amazon Best Sellers Rank: (X in Category),##,Grocery Category ,Sell on Their Own Website? (Y/N),Link to Own Website,,Price per item (formula)
2A,Healthy Snacks Care Package (Count 30) - Discover a whole new world of Healthy Snacks,6/7/19,Blue Ribbon,Fusion Apparel ,Fusion Apparel ,B074KFY62H,$21.95 ,30,Y,Y,207,3.6,"Healthy Snacks - Chips, Bars, Nuts","Healthy Snack Box Includes: 1 Terra Original Chips , 1 Skinny Pop Popcorn , 3 Fig Bars , 3 Nutri Grain Breakfast Bars , 4 Quaker Chewy Bars , 2 Nature Valley Crunchy Granola Bars , 2 Nature Valley Sweet & Salty Peanut Granola Bars , 4 Welches Fruit Snacks , 1 belVita Cinnamon Biscuits , 3 Mott's Fruit Snacks , 2 Fiber One Chewy Bars , 1 Nature Valley Fruit & Nut Trail Mix Chewy Granola Bar , 1 Blue Diamond Almonds , 1 Planters Salted Peanuts , 1 Kar's Sweet n Salty Mix","Perfect for Colleges, Trips, Birthdays, Office, Meetings, Hospitals, Churches, Military and many more!","Great GIFT as a care package for College Students, Schools Kids, Co-workers, Military Personal, Your Family, and Friends.",Indulge in your favorite treats and discover a whole new world of HEALTY BARS and NUTS.,"All snacks are carefully hand-picked, and shipped loose in an elegant Blue Ribbon GIFT BOX. For a complete list of HEALTY BARS and NUTS included see below in the Product Description.",N,N,Y,https://www.amazon.com/stores/node/17982222011?_encoding=UTF8&field-lbr_brands_browse-bin=Blue%20Ribbon&ref_=bl_dp_s_web_17982222011,2.7 lbs,"#1,251 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",1251,Grocery & Gourmet Food,#4 in Snack Food Gifts,4,Snack Food Gifts,N,N/A,,$0.73 
3A,"Ultimate Healthy Office Bars (60 count), Snacks & Nuts Bulk Variety Pack - Travel Snack Box - Military Care Package, Variety Gift Pack for Office, Military, Travel, Students, Final Exams, Outdoor,",6/5/19,LA Signature,Deal on Call ,Amazon ,B071HK5YJ2,$34.99 ,60,Y,Y,38,4.3,"Healthy Snacks - Bars, Nuts",N/A,N/A,N/A,N/A,N/A,N,Y,Y,https://www.amazon.com/stores/node/17978589011?_encoding=UTF8&field-lbr_brands_browse-bin=LA%20Signature&ref_=bl_dp_s_web_17978589011,5.6 lbs,"#34,262 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",34262,Grocery & Gourmet Food,N/A,,,N,N/A,,$0.58 
4A,Healthy Snacks Care Package Variety Pack by Variety Fun (30 Count),6/5/19,Custom Varietea,VarietyFun,Amazon ,B01BNP3LBK,$29.99 ,30,Y,Y,78,4.2,"Healthy Snacks - Chips, Nuts, Bars",PREMIUM SNACKS: Variety Fun Premium Healthy Snacks Care Package Includes An Assortment Of 100 Delicious Individually Wrapped Single Serve Snacks. Find Your Favorite Treats & Try New Great Flavors.,"GREAT VARIETY PACK TO SHARE: Share It In The Office With Your Coworkers, Mix It Up For School Lunches With Your Kids, Send A Care Package To Our Troops, Bring It To A Picnic Or A Party, Or Simply Share It With Your Family And Friends",PERFECT GIFT TO SEND: Perfect Care Package Gift To Send To Your Friends & Family Filled With Healthy & Great Tasting Snacks In A Beautiful Variety Fun Gift Box,"All Snacks Are Carefully Handpicked & Shipped Loose In A Variety Fun Gift Box (Not In Manufacturers Packaging) In Rare Cases, Based Upon Availability Certain Flavors Will Be Replaced With Other Flavors",Taste Explore Enjoy,Y,N,Y,https://www.amazon.com/stores/node/13261387011?_encoding=UTF8&field-lbr_brands_browse-bin=Custom%20Varietea&ref_=bl_dp_s_web_13261387011,3.3 lbs,"#7,423 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",7423,Grocery & Gourmet Food,#25 in Snack Food Gifts,25,Snack Food Gifts,Y,https://www.varietyfun.com/,,$1.00 
5A,CraveBox Healthy Snacks 40 Count Care Package Variety Box Gift Pack Assortment Basket Bundle Mixed Bulk Sampler Natural Bars Nuts Fruit Chews College Finals Students Office Trips Father's Day Boy,6/5/19,CRAVEBOX,Accardi Products,Amazon ,B01MTE73AA,$34.95 ,40,Y,Y,328,4.5,"Healthy Snacks - Bars, Nuts","HEALTHY SNACKS: This 40 count care package includes a mix of healthy snacks (that are still sweet and savory). Best essential brands of nuts, fruit chews, bars, popcorn, veggie chips. Best variety on Amazon as it includes all of your favorite individually wrapped snacks and goodies. Healthy snacks for the health conscious person. Nutritious workout fitness protein diet fit gym value fun pack. Large for a great low price - what a good deal. Wholesale quantity amount of snacks and treats to enjoy!","COLLEGE FINALS 2019: College and University Spring Semester Final Exams are approaching! These snacks are a great study boost for all studying students in school. Send to the dorm room for freshman, sophomores, juniors, seniors. SUMMER 2019: This snack box is perfect for your Summer Fun! Popular for camps, road trips, and vacations. Great for pool parties and even summer school. Also, summer holidays like 4th of July, Memorial Day, and Labor Day. Trips to the shore or beach - better with snacks!","EVERY OCCASION: office, meetings, schools, college, university, holidays, Halloween, Christmas, Valentine's, Easter, on-the-go snacks, lunch or outing events, movie, movies, birthday, birthdays, celebration, hospitals, churches, get well soon, abroad, car driving, road trips, picnics, party, parties, after surgery, healing, finals week, deployment, summer, camp, cancer, chemo, sick, celebrate, graduation, sympathy, love, thank you, appreciation, congratulations, anniversary, wedding, friendship.","EVERY PERSON: friends, family, military soldiers, students, co-workers, teens, toddler, young kids, boyfriend, girlfriend, friend, boy, girl, son, daughter, yourself, women, men, inmates, pregnancy, new mom, mother, father, dad, boss, teacher, partner, business, kid, baby, any year old or age, husband, wife, grandchild, grandson, granddaughter, grandmother, grandfather, pop, grandma, grandpa, niece, nephew, aunt, uncle, cousin, acquaintance, classmate, loved one, someone special, fiancé, buddy.",PACKAGE DIMENSIONS + DETAILS: 40 snacks - 13x11.5x4in. Gift wrapping and message available at checkout. Contents included: 4 Zee Zee's Bars 2 Fig Bars 3 Kellogg's Nutrigrain 3 Nature Valley Sweet & Salty 4 Nature Valley Oats & Honey 5 Quaker Chewy 4 Nature Valley Fruit & Nut 5 Mott's Fruit Snacks 3 Welch's 1 Veggie Straws 2 Squeaky Pops 3 PurePop 3 Pirate's Booty,Y,Y,Y,https://www.amazon.com/stores/node/18423680011?_encoding=UTF8&field-lbr_brands_browse-bin=CRAVEBOX&ref_=bl_dp_s_web_18423680011,3.4 lbs,"#7,775 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",7775,Grocery & Gourmet Food,#27 in Snack Food Gifts,27,Snack Food Gifts,Y,https://cravebox.com/,,$0.87 
6A,"Healthy snack Care Package (52 count) A Gift crave Snack Box with a Variety of Healthy Snack Choices – Great for Office, College Military, Work, Students etc.",6/7/19,The Snack Bar,Make it Up ,Amazon,B07JGZ3J7R,$31.88 ,52,Y,Y,48,4.1,"Healthy Snacks - Chips, Bars, Nuts",THE SNACK BAR BOX CONTAINS a variety of healthy snacks and bars to satisfy any type of craving. (see product description below for full list of items),"PERFECT FOR college, office meetings, hospitals, military, staff rooms, trips, kids","GREAT AS A CARE PACKAGE GIFT FOR college students, campers, birthdays, co-workers, military personnel, family and friends","LARGE BOX STUFFED with more than 2.5 lbs. of fresh bars, fruit snacks and snacks (In the rare occasion an item is out of stock it may be replaced with product of equal or greater value)",ORDER your Snack Bar Snack Box today for yourself or as a gift,N,N,N,N/A,4.8 lbs,"#8,678 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",8678,Grocery & Gourmet Food,#32 in Snack Food Gifts,32,Snack Food Gifts,N,,,$0.61 
7A,"Healthy Snacks Bars Bulk Variety Pack - Office Snacks, School Lunches, Meetings – (Office Snack Station 120 Count)",6/7/19,Blue Ribbon ,TheNewMall,Amazon ,B071HM5WC9,$72.99 ,120,Y,Y,11,4.6,Healthy Snack Bars,"Nature Valley Fruit & Nut Chewy Trail Mix Granola Bars:10,Quaker Chewy Bars:10, Brownie Bar:4 OR CLIF BAR:4,Fiber One Chewy Bar, Oats and Chocolate,:7,Kellogg's Nutri-Grain Cereal Bars:12,Nature's Bakery Whole Wheat Fig Bars :18, Planters Peanuts:10,Nature Valley Crunchy Granola Bars - Oats n Honey:17,Nature Valley Crunchy Granola Bars - Peanut Butter:16,Nature Valley Crunchy Granola Bars - Oats n Chocolate:16","Perfect Snacks Station for Offices,Colleges, Trips, Birthdays,Meetings, Hospitals, Churches, Military and many more!","Great GIFT as a care package for College Students, Schools Kids, Co-workers, Military Personal, Your Family, and Friends.",Indulge in your favorite treats and discover a whole new world of HEALTY BARS and NUTS.,,N,N,Y,https://www.amazon.com/stores/node/17982222011?_encoding=UTF8&field-lbr_brands_browse-bin=Blue%20Ribbon&ref_=bl_dp_s_web_17982222011,12.3 lbs,"#16,637 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",16637,Grocery & Gourmet Food,#7 in Whole Grain Bars,7,Whole Grain Bars,Y,https://shop.thenewmall.us/,,$0.61 
8A,"All Natural Healthy Snack Station (50 Count) by The Good Grocer - Office Snacks, Variety Pack, School Lunches (Includes Display Box)",6/7/19,The Good Grocer,The Good Grocer,Amazon,B0755PRLYL,$64.95 ,50,Y,Y,422,4.6,Healthy Snacks,The Healthy Snack Station is a unique countertop display filled with delicious healthy snacks.,Give your employees the delicious snacks they want. Keep them energized with healthier snack options.,Ditch the hassle of snack shopping and restocking. Just remove the shipping lid and your Healthy Snack Station is ready to go.,"Perfect for office break rooms, meetings, hospitality, events, trade shows, customer gifts, conferences, school events, dorm rooms and more!",,N,N,Y,https://www.amazon.com/stores/node/10218139011?_encoding=UTF8&field-lbr_brands_browse-bin=The%20Good%20Grocer&ref_=bl_dp_s_web_10218139011,5.4 lbs,"#73,787 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",73787,Grocery & Gourmet Food,#212 in Snack Food Gifts,212, Snack Food Gifts,Y,https://thegoodgrocersnacks.com/,,$1.30 
9A,Ultimate Premium Healthy Chips & Snacks Care Package Variety Pack by Variety Fun (Care Package 35 Count),6/7/19,Custom Varietea,VarietyFun,Amazon,B01BNNIYAK,$49.99 ,35,Y,Y,59,4.3,Healthy Snacks & Healthy Chips,SNACKS:by Variety Fun Healthy Snacks Care Package Includes An Assortment Of 35 Single Serve Snacks,"VARIETY PACK TO SHARE:at The Office School Lunches for Kids, Picnic Or Party, Family And Friends",Perfect Care Package for Friends & Family Filled With Healthy & Great Tasting Snacks,Variety Fun specializes in creating custom variety packs. to Taste Explore Enjoy!,"All Snacks Are Carefully Handpicked & Shipped Loose In A Variety Fun Gift Box (Not In Manufacturers Packaging) In Rare Cases, Based Upon Availability Certain Flavors Will Be Replaced With Other Flavors",Y,N,Y,https://www.amazon.com/stores/node/13261387011?_encoding=UTF8&field-lbr_brands_browse-bin=Custom%20Varietea&ref_=bl_dp_s_web_13261387011,3.6 lbs,"#25,365 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",25365,Grocery & Gourmet Food,#82 in Snack Food Gifts,82,Snack Food Gifts,Y,https://www.varietyfun.com/,,$1.43 
10A,"Healthy Snack Station (70 Count) by The Good Grocer - Office Snacks, School Lunches, Variety Pack (Includes Display Box)",6/7/19,The Good Grocer,The Good Grocer,Amazon,B01LXZZVMT,$89.95 ,70,Y,Y,9,4.6,"Healthy Snacks - Chips, Bars, Popcorn, Nuts",The Healthy Snack Station is a unique countertop display filled with delicious healthy snacks. Each Healthy Snack Station comes loaded with over 8 pounds of tasty grab-n-go snacks.,Give your employees the delicious snacks they want. Keep them energized with healthier snack options.,Ditch the hassle of snack shopping and restocking. Just remove the shipping lid and your Healthy Snack Station is ready to go.,"Perfect for office break rooms, meetings, hospitality, events, trade shows, customer gifts, conferences, school events, dorm rooms and more!",Guaranteed Fresh! Each box is clearly marked with the earliest expiration date. We guarantee our snacks are fresh when you receive them with the earliest expiration date at least 60 days out. Most items will have expiration dates 3-9 months out from time of purchase.,N,Y,Y,https://www.amazon.com/stores/node/10218139011?_encoding=UTF8&field-lbr_brands_browse-bin=The%20Good%20Grocer&ref_=bl_dp_s_web_10218139011,7.6 lbs,"#149,454 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",149454,Grocery & Gourmet Food,#118 in Food Assortments & Variety Gifts,118,Food Assortment & Variety Gifts,Y,https://thegoodgrocersnacks.com/,,$1.29 
11A,100 Office Snacks Care Package - Snack Pack Boxed Variety of Assorted Snacks 100 Count,6/7/19,SmallTown Table,SmallTown Table,Amazon,B07PXXX8G9,$59.95 ,100,Y,Y,32,4,"General Snacks - Crackers, Chips, Bars, Cookies, Candy ","YUM: Over 100 VARIETY of SNACKS Assortment of Individually Wrapped Single Serve Snacks delivered right to your door. Sweet, salty, spicy, it's in there! So much food to feed the family, team, office or to have options for lunch boxes. You get over 100 snacks","EVERYONE LOVES SNACKS: The Perfect Gift that keeps on giving Dorm Students, All College kids",CARE PACKAGE: SmallTown Table carefully hand packs every box to ensure you get only the best quality,"TIME SAVER: Parents-this gift rocks, from lunch boxes to college to work, there's always a snack for you.","SWEET and SALTY Great break room snack box, summer road trips, Memorial Day, July 4th...",Y,N,Y,https://www.amazon.com/stores/node/15341686011?_encoding=UTF8&field-lbr_brands_browse-bin=SmallTown%20Table&ref_=bl_dp_s_web_15341686011,7.12 lbs,"#34,231 in Grocery & Gourmet Food (See Top 100 in Grocery & Gourmet Food)",34231,Grocery & Gourmet Food,#115 in Snack Food Gifts,115,Snack Food Gifts,Y,https://smalltowntable.com/,,$0.60 
